System information:
Version                                  | VisiWin7 7.2
Framework                                | DotNet
Project                                  | Single
VisiWin.S7_TIA.Brw.dll           | 3.0.1.56(Debug=False)
VisiWin.Browser.Components.Shared.dll | 7.0.0.41(Debug=False)

Messages
05/03/2024 15:39:11   | Message | Attention: Some items in the PLC project contain special characters. | TIAParser.FormatName() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Pointer" of item "RFC_IDB CD Exhaust Main.sRestarter"IO: Delayed"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Pointer" of item "RFC_RFC_IDB CD Exhaust Main.sRestarter.sDelayed off"IO: Time"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Pointer" of item "RFC_RFC_IDB CD Exhaust Main.sRestarter.sDelayed on"IO: Time"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Pointer" of item "RFC_IDB CD Gripper Alarm.Alarm manager"IO: General"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC_IDB CD Gripper Alarm.Alarm manager"IO: Error"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC_IDB CD Gripper Alarm.Alarm manager"IO: Warning"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC_IDB CD Gripper Alarm.Alarm manager"IO: Message"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC_IDB CD Gripper Alarm.Alarm manager"IO: Predictive"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Pointer" of item "RFC_IDB CD Rotor Alarm.Alarm manager"IO: General"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC_IDB CD Rotor Alarm.Alarm manager"IO: Error"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC_IDB CD Rotor Alarm.Alarm manager"IO: Warning"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC_IDB CD Rotor Alarm.Alarm manager"IO: Message"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC_IDB CD Rotor Alarm.Alarm manager"IO: Predictive"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Pointer" of item "RFC_IDB CD Tilt Alarm.Alarm manager"IO: General"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC_IDB CD Tilt Alarm.Alarm manager"IO: Error"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC_IDB CD Tilt Alarm.Alarm manager"IO: Warning"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC_IDB CD Tilt Alarm.Alarm manager"IO: Message"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC_IDB CD Tilt Alarm.Alarm manager"IO: Predictive"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Pointer" of item "RFC_IDB CD Slider Alarm.Alarm manager"IO: General"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC_IDB CD Slider Alarm.Alarm manager"IO: Error"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC_IDB CD Slider Alarm.Alarm manager"IO: Warning"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC_IDB CD Slider Alarm.Alarm manager"IO: Message"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC_IDB CD Slider Alarm.Alarm manager"IO: Predictive"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Pointer" of item "RFC_IDB CD Planet Alarm.Alarm manager"IO: General"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC_IDB CD Planet Alarm.Alarm manager"IO: Error"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC_IDB CD Planet Alarm.Alarm manager"IO: Warning"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC_IDB CD Planet Alarm.Alarm manager"IO: Message"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC_IDB CD Planet Alarm.Alarm manager"IO: Predictive"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Pointer" of item "RFC_IDB CD Latch Alarm.Alarm manager"IO: General"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC_IDB CD Latch Alarm.Alarm manager"IO: Error"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC_IDB CD Latch Alarm.Alarm manager"IO: Warning"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC_IDB CD Latch Alarm.Alarm manager"IO: Message"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC_IDB CD Latch Alarm.Alarm manager"IO: Predictive"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Pointer" of item "RFC_IDB CD Supply Main.sRestarter"IO: Delayed"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Pointer" of item "RFC_RFC_IDB CD Supply Main.sRestarter.sDelayed off"IO: Time"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Pointer" of item "RFC_RFC_IDB CD Supply Main.sRestarter.sDelayed on"IO: Time"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Pointer" of item "RFC_IDB CD Alarm.Alarm manager"IO: General"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC_IDB CD Alarm.Alarm manager"IO: Error"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC_IDB CD Alarm.Alarm manager"IO: Warning"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC_IDB CD Alarm.Alarm manager"IO: Message"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC_IDB CD Alarm.Alarm manager"IO: Predictive"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Pointer" of item "PLC.Blocks.03 Basket coating.01 CD.04 Tilt.IDB._IDB CD Tilt PN.IO: MOP Setup" is not supported! | TIAParser.CreateItemInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC__IDB CD Tilt PN.sGETIO_PARTINPUTS" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC__IDB CD Tilt PN.sSETIO_PARTOUTPUTS" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Pointer" of item "PLC.Blocks.03 Basket coating.01 CD.01 Rotor.IDB._IDB CD Rotor PN.IO: MOP Setup" is not supported! | TIAParser.CreateItemInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC__IDB CD Rotor PN.sGETIO_PARTINPUTS" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC__IDB CD Rotor PN.sSETIO_PARTOUTPUTS" is not supported! | TIAParser.CreateMemberInfo() | 
